Year,STATE,TOTAL_HOME_UNITS
1998,VT,29.0
1998,WA,263.0
1998,WI,454.0
1998,WV,1.0
1998,WY,70.0
1999,AK,117.0
1999,AL,493.0
1999,AR,228.0
1999,AZ,320.0
1999,CA,2560.0
1999,CO,369.0
1999,CT,212.0
1999,DE,90.0
1999,FL,768.0
1999,GA,380.0
1999,HI,29.0
1999,IA,472.0
1999,ID,288.0
1999,IL,997.0
1999,IN,467.0
1999,KS,58.0
1999,KY,139.0
1999,LA,243.0
1999,MA,1094.0
1999,MD,659.0
1999,ME,84.0
1999,MI,342.0
1999,MN,1146.0
1999,MO,432.0
1999,MT,61.0
1999,NC,440.0
1999,ND,181.0
1999,NE,429.0
1999,NH,38.0
1999,NJ,255.0
1999,NM,68.0
1999,NV,298.0
1999,NY,1325.0
1999,OH,1571.0
1999,OK,275.0
1999,OR,217.0
1999,PA,1309.0
1999,PR,147.0
1999,RI,110.0
1999,SC,236.0
1999,SD,260.0
1999,TN,265.0
1999,TX,1309.0
1999,UT,27.0
1999,VA,79.0
1999,VT,47.0
1999,WA,417.0
1999,WI,465.0
1999,WV,37.0
1999,WY,52.0
2000,AL,703.0
2000,AR,210.0
2000,AZ,231.0
2000,CA,2156.0
2000,CO,199.0
2000,CT,148.0
2000,DE,11.0
2000,FL,535.0
2000,GA,790.0
2000,IA,592.0
2000,ID,28.0
2000,IL,439.0
2000,IN,482.0
2000,KS,191.0
2000,KY,93.0
2000,LA,254.0
2000,MA,413.0
2000,MD,292.0
2000,ME,45.0
2000,MI,326.0
2000,MN,517.0
2000,MO,287.0
2000,MS,52.0
2000,MT,72.0
2000,NC,103.0
2000,ND,31.0
2000,NE,116.0
2000,NH,9.0
2000,NJ,218.0
2000,NM,92.0
2000,NV,275.0
2000,NY,542.0
2000,OH,813.0
2000,OK,107.0
2000,OR,130.0
2000,PA,682.0
2000,RI,373.0
2000,SC,32.0
2000,SD,71.0
2000,TN,194.0
2000,TX,958.0
2000,UT,32.0
2000,VA,416.0
2000,VT,45.0
2000,WA,951.0
2000,WI,179.0
2000,WV,4.0
2001,AK,6.0
2001,AL,684.0
2001,AR,98.0
2001,AZ,261.0
2001,CA,2124.0
2001,CO,220.0
2001,CT,339.0
2001,DE,3.0
2001,FL,714.0
2001,GA,891.0
2001,HI,242.0
2001,IA,496.0
2001,ID,52.0
2001,IL,635.0
2001,IN,337.0
2001,KS,163.0
2001,KY,221.0
2001,LA,51.0
2001,MA,1725.0
2001,MD,249.0
2001,ME,9.0
2001,MI,1018.0
2001,MN,608.0
2001,MO,317.0
2001,MT,152.0
2001,NC,355.0
2001,ND,127.0
2001,NE,134.0
2001,NH,125.0
2001,NJ,645.0
2001,NM,10.0
2001,NV,137.0
2001,NY,1726.0
2001,OH,1011.0
2001,OK,150.0
2001,OR,261.0
2001,PA,953.0
2001,RI,25.0
2001,SC,410.0
2001,SD,48.0
2001,TN,250.0
2001,TX,737.0
2001,UT,81.0
2001,VA,147.0
2001,VI,2.0
2001,VT,46.0
2001,WA,259.0
2001,WI,626.0
2001,WY,106.0
2002,AK,11.0
2002,AL,422.0
2002,AR,98.0
2002,AZ,217.0
2002,CA,2364.0
2002,CO,623.0
2002,CT,140.0
2002,DE,20.0
2002,FL,274.0
2002,GA,277.0
2002,IA,281.0
2002,ID,33.0
2002,IL,544.0
2002,IN,613.0
2002,KS,31.0
2002,KY,204.0
2002,LA,176.0
2002,MA,340.0
2002,MD,237.0
2002,ME,21.0
2002,MI,620.0
2002,MN,560.0
2002,MO,789.0
2002,MS,141.0
2002,MT,132.0
2002,NC,780.0
2002,ND,17.0
2002,NE,67.0
2002,NH,12.0
2002,NJ,300.0
2002,NM,8.0
2002,NV,183.0
2002,NY,822.0
2002,OH,951.0
2002,OK,29.0
2002,OR,192.0
2002,PA,964.0
2002,RI,77.0
2002,SC,68.0
2002,SD,81.0
2002,TN,106.0
2002,TX,1186.0
2002,UT,30.0
2002,VA,109.0
2002,VT,9.0
2002,WA,153.0
2002,WI,377.0
2002,WV,14.0
2002,WY,20.0
2003,AL,411.0
2003,AR,139.0
2003,AZ,199.0
2003,CA,1835.0
2003,CO,212.0
2003,CT,62.0
2003,DC,10.0
2003,DE,16.0
2003,FL,889.0
2003,GA,787.0
2003,IA,885.0
2003,ID,141.0
2003,IL,1722.0
2003,IN,361.0
2003,KS,49.0
2003,KY,98.0
2003,LA,474.0
2003,MA,771.0
2003,MD,225.0
2003,ME,33.0
2003,MI,295.0
2003,MN,604.0
2003,MO,436.0
2003,MS,70.0
2003,MT,36.0
2003,NC,212.0
2003,ND,48.0
2003,NE,34.0
2003,NH,137.0
2003,NJ,220.0
2003,NV,263.0
2003,NY,1202.0
2003,OH,534.0
2003,OK,137.0
2003,OR,100.0
2003,PA,1021.0
2003,RI,53.0
2003,SC,198.0
2003,SD,126.0
2003,TN,184.0
2003,TX,1079.0
2003,UT,46.0
2003,VA,427.0
2003,VT,23.0
2003,WA,492.0
2003,WI,440.0
2003,WV,14.0
2003,WY,13.0
2004,AK,16.0
2004,AL,515.0
2004,AR,12.0
2004,AZ,207.0
2004,CA,1930.0
2004,CO,241.0
2004,CT,183.0
2004,DC,21.0
2004,DE,74.0
2004,FL,174.0
2004,GA,885.0
2004,HI,16.0
2004,IA,585.0
2004,ID,57.0
2004,IL,1759.0
2004,IN,616.0
2004,KS,30.0
2004,LA,201.0
2004,MA,605.0
2004,MD,288.0
2004,ME,34.0
2004,MI,598.0
2004,MN,344.0
2004,MO,556.0
2004,MS,80.0
2004,MT,118.0
2004,NC,533.0
2004,NE,61.0
2004,NH,20.0
2004,NJ,494.0
2004,NM,44.0
2004,NV,196.0
2004,NY,1663.0
2004,OH,804.0
2004,OK,44.0
2004,OR,159.0
2004,PA,664.0
2004,PR,3.0
2004,RI,76.0
2004,SC,142.0
2004,SD,148.0
2004,TN,260.0
2004,TX,551.0
2004,UT,84.0
2004,VA,105.0
2004,VT,20.0
2004,WA,585.0
2004,WI,351.0
2004,WV,54.0
2004,WY,12.0
2005,AK,9.0
2005,AL,384.0
2005,AR,66.0
2005,AZ,287.0
2005,CA,2938.0
2005,CO,72.0
2005,CT,1159.0
2005,DC,186.0
2005,DE,13.0
2005,FL,696.0
2005,GA,399.0
2005,HI,147.0
2005,IA,329.0
2005,ID,85.0
2005,IL,2372.0
2005,IN,656.0
2005,KS,47.0
2005,KY,304.0
2005,LA,686.0
2005,MA,812.0
2005,MD,435.0
2005,ME,70.0
2005,MI,1104.0
2005,MN,477.0
2005,MO,302.0
2005,MS,68.0
2005,MT,132.0
2005,NC,516.0
2005,ND,43.0
2005,NE,33.0
2005,NH,61.0
2005,NJ,865.0
2005,NM,88.0
2005,NV,507.0
2005,NY,1613.0
2005,OH,1812.0
2005,OK,418.0
2005,OR,148.0
2005,PA,1186.0
2005,RI,91.0
2005,SC,583.0
2005,SD,65.0
2005,TN,192.0
2005,TX,750.0
2005,UT,178.0
2005,VA,356.0
2005,VT,47.0
2005,WA,514.0
2005,WI,335.0
2005,WV,99.0
2005,WY,51.0
2006,AK,9.0
2006,AL,681.0
2006,AR,106.0
2006,AZ,149.0
2006,CA,2669.0
2006,CO,447.0
2006,CT,135.0
2006,DC,127.0
2006,DE,9.0
2006,FL,2064.0
2006,GA,322.0
2006,HI,80.0
2006,IA,400.0
2006,ID,46.0
2006,IL,1548.0
2006,IN,869.0
2006,KS,39.0
2006,KY,509.0
2006,LA,2184.0
2006,MA,834.0
2006,MD,199.0
2006,ME,16.0
2006,MI,1603.0
2006,MN,589.0
2006,MO,233.0
2006,MS,13.0
2006,MT,141.0
2006,NC,833.0
2006,ND,37.0
2006,NE,119.0
2006,NH,25.0
2006,NJ,1285.0
2006,NM,58.0
2006,NV,111.0
2006,NY,4507.0
2006,OH,2941.0
2006,OK,178.0
2006,OR,238.0
2006,PA,864.0
2006,PR,95.0
2006,RI,68.0
2006,SC,533.0
2006,SD,147.0
2006,TN,362.0
2006,TX,1499.0
2006,UT,103.0
2006,VA,231.0
2006,VT,151.0
2006,WA,715.0
2006,WI,434.0
2006,WV,11.0
2006,WY,26.0
2007,AK,6.0
2007,AL,871.0
2007,AR,174.0
2007,AZ,51.0
2007,CA,1795.0
2007,CO,500.0
2007,CT,457.0
2007,DC,82.0
2007,DE,15.0
2007,FL,525.0
2007,GA,774.0
2007,HI,82.0
2007,IA,354.0
2007,ID,47.0
2007,IL,1801.0
2007,IN,335.0
2007,KS,56.0
2007,KY,194.0
2007,LA,881.0
2007,MA,952.0
2007,MD,88.0
2007,ME,99.0
2007,MI,995.0
2007,MN,475.0
2007,MO,254.0
2007,MS,58.0
2007,MT,156.0
2007,NC,1059.0
2007,ND,28.0
2007,NE,93.0
2007,NH,107.0
2007,NJ,829.0
2007,NM,112.0
2007,NV,203.0
2007,NY,2244.0
2007,OH,726.0
2007,OK,103.0
2007,OR,84.0
2007,PA,1047.0
2007,PR,137.0
2007,RI,103.0
2007,SC,548.0
2007,SD,79.0
2007,TN,240.0
2007,TX,1318.0
2007,UT,138.0
2007,VA,957.0
2007,VT,23.0
2007,WA,238.0
2007,WI,196.0
2007,WV,132.0
2007,WY,15.0
2008,AK,4.0
2008,AL,511.0
2008,AR,105.0
2008,AZ,98.0
2008,CA,4813.0
2008,CO,368.0
2008,CT,216.0
2008,DC,428.0
2008,DE,44.0
2008,FL,839.0
2008,GA,851.0
2008,HI,53.0
2008,IA,236.0
2008,ID,24.0
2008,IL,1413.0
2008,IN,256.0
2008,KS,41.0
2008,KY,467.0
2008,LA,145.0
2008,MA,762.0
2008,MD,862.0
2008,ME,69.0
2008,MI,980.0
2008,MN,739.0
2008,MO,363.0
2008,MS,52.0
2008,MT,105.0
2008,NC,501.0
2008,ND,111.0
2008,NE,30.0
2008,NH,100.0
2008,NJ,397.0
2008,NM,42.0
2008,NV,91.0
2008,NY,1743.0
2008,OH,1067.0
2008,OK,48.0
2008,OR,157.0
2008,PA,1065.0
2008,RI,156.0
2008,SC,261.0
2008,SD,56.0
2008,TN,176.0
2008,TX,527.0
2008,UT,303.0
2008,VA,587.0
2008,VT,29.0
2008,WA,575.0
2008,WI,241.0
2008,WV,64.0
2008,WY,18.0
2009,AK,24.0
2009,AL,514.0
2009,AR,170.0
2009,AZ,219.0
2009,CA,3079.0
2009,CO,254.0
2009,CT,604.0
2009,DC,16.0
2009,DE,39.0
2009,FL,1154.0
2009,GA,575.0
2009,HI,68.0
2009,IA,363.0
2009,ID,46.0
2009,IL,477.0
2009,IN,217.0
2009,KS,61.0
2009,KY,109.0
2009,LA,158.0
2009,MA,737.0
2009,MD,235.0
2009,ME,6.0
2009,MI,441.0
2009,MN,489.0
2009,MO,151.0
2009,MS,50.0
2009,MT,11.0
2009,NC,655.0
2009,ND,29.0
2009,NE,83.0
2009,NH,139.0
2009,NJ,270.0
2009,NM,77.0
2009,NV,63.0
2009,NY,2061.0
2009,OH,1025.0
2009,OK,51.0
2009,OR,277.0
2009,PA,615.0
2009,PR,19.0
2009,RI,48.0
2009,SC,287.0
2009,SD,62.0
2009,TN,137.0
2009,TX,1063.0
2009,UT,131.0
2009,VA,418.0
2009,VT,54.0
2009,WA,145.0
2009,WI,170.0
2009,WV,13.0
2009,WY,22.0
2010,AK,13.0
2010,AL,421.0
2010,AR,53.0
2010,AZ,256.0
2010,CA,3176.0
2010,CO,231.0
2010,CT,397.0
2010,FL,710.0
2010,GA,615.0
2010,HI,46.0
2010,IA,771.0
2010,ID,102.0
2010,IL,1546.0
2010,IN,163.0
2010,KS,19.0
2010,KY,181.0
2010,LA,297.0
2010,MA,428.0
2010,MD,748.0
2010,ME,57.0
2010,MI,333.0
2010,MN,387.0
2010,MO,170.0
2010,MS,16.0
2010,MT,73.0
2010,NC,488.0
2010,ND,20.0
2010,NE,16.0
2010,NH,28.0
2010,NJ,309.0
2010,NM,30.0
2010,NV,109.0
2010,NY,1895.0
2010,OH,1012.0
2010,OK,39.0
2010,OR,162.0
2010,PA,1492.0
2010,PR,5.0
2010,RI,75.0
2010,SC,157.0
2010,SD,112.0
2010,TN,317.0
2010,TX,2279.0
2010,UT,80.0
2010,VA,460.0
2010,VT,71.0
2010,WA,230.0
2010,WI,240.0
2010,WV,29.0
2010,WY,43.0
2011,AK,239.0
2011,AL,786.0
2011,AR,1578.0
2011,AZ,852.0
2011,CA,2524.0
2011,CO,374.0
2011,CT,235.0
2011,DC,76.0
2011,DE,52.0
2011,FL,1103.0
2011,GA,474.0
2011,HI,512.0
2011,IA,455.0
2011,ID,259.0
2011,IL,1962.0
2011,IN,1056.0
2011,KS,163.0
2011,KY,769.0
2011,LA,595.0
2011,MA,1269.0
2011,MD,251.0
2011,ME,3.0
2011,MI,775.0
2011,MN,502.0
2011,MO,1046.0
2011,MS,16.0
2011,MT,49.0
2011,NC,442.0
2011,ND,46.0
2011,NE,28.0
2011,NH,183.0
2011,NJ,1141.0
2011,NM,79.0
2011,NV,143.0
2011,NY,3466.0
2011,OH,1389.0
2011,OK,329.0
2011,OR,189.0
2011,PA,1620.0
2011,PR,39.0
2011,RI,130.0
2011,SC,602.0
2011,SD,122.0
2011,TN,179.0
2011,TX,5911.0
2011,UT,436.0
2011,VA,620.0
2011,VT,65.0
2011,WA,296.0
2011,WI,1214.0
2011,WV,68.0
2011,WY,54.0
2012,AK,32.0
2012,AL,571.0
2012,AR,109.0
2012,AZ,500.0
2012,CA,3960.0
2012,CO,625.0
2012,CT,273.0
2012,DC,218.0
2012,DE,27.0
2012,FL,2937.0
2012,GA,1442.0
2012,IA,184.0
2012,ID,30.0
2012,IL,1636.0
2012,IN,413.0
2012,KS,44.0
2012,KY,161.0
2012,LA,1326.0
2012,MA,1349.0
2012,MD,1647.0
2012,ME,103.0
2012,MI,625.0
2012,MN,1235.0
2012,MO,720.0
2012,MS,1.0
2012,MT,51.0
2012,NC,1629.0
2012,ND,95.0
2012,NE,394.0
2012,NH,102.0
2012,NJ,1034.0
2012,NM,639.0
2012,NV,342.0
2012,NY,4535.0
2012,OH,887.0
2012,OK,435.0
2012,OR,679.0
2012,PA,1417.0
2012,PR,172.0
2012,RI,90.0
2012,SC,267.0
2012,SD,124.0
2012,TN,3060.0
2012,TX,1877.0
2012,UT,99.0
2012,VA,1127.0
2012,VT,143.0
2012,WA,738.0
2012,WI,604.0
2012,WV,708.0
2012,WY,41.0
2013,AK,16.0
2013,AL,443.0
2013,AR,31.0
2013,AZ,188.0
2013,CA,4650.0
2013,CO,776.0
2013,CT,83.0
2013,DC,187.0
2013,FL,711.0
2013,GA,280.0
2013,HI,16.0
2013,IA,174.0
2013,ID,121.0
2013,IL,811.0
2013,IN,372.0
2013,KS,2.0
2013,KY,77.0
2013,LA,1786.0
2013,MA,711.0
2013,MD,504.0
2013,ME,119.0
2013,MI,3216.0
2013,MN,256.0
2013,MO,105.0
2013,MS,892.0
2013,MT,122.0
2013,NC,260.0
2013,ND,17.0
2013,NE,24.0
2013,NH,157.0
2013,NJ,315.0
2013,NM,77.0
2013,NV,80.0
2013,NY,2429.0
2013,OH,1208.0
2013,OK,256.0
2013,OR,177.0
2013,PA,758.0
2013,PR,165.0
2013,RI,389.0
2013,SC,241.0
2013,SD,206.0
2013,TN,164.0
2013,TX,760.0
2013,UT,302.0
2013,VA,1205.0
2013,VT,110.0
2013,WA,330.0
2013,WI,240.0
2013,WV,46.0
2013,WY,10.0
2014,AK,3.0
2014,AL,360.0
2014,AR,72.0
2014,AZ,217.0
2014,CA,3453.0
2014,CO,169.0
2014,CT,742.0
2014,DE,61.0
2014,FL,1363.0
2014,GA,393.0
2014,HI,10.0
2014,IA,116.0
2014,ID,35.0
2014,IL,132.0
2014,IN,398.0
2014,KS,29.0
2014,KY,48.0
2014,LA,234.0
2014,MA,565.0
2014,MD,458.0
2014,ME,23.0
2014,MI,818.0
2014,MN,177.0
2014,MO,167.0
2014,MS,30.0
2014,MT,22.0
2014,NC,410.0
2014,ND,28.0
2014,NE,28.0
2014,NH,69.0
2014,NJ,364.0
2014,NM,25.0
2014,NV,91.0
2014,NY,1387.0
2014,OH,510.0
2014,OK,180.0
2014,OR,338.0
2014,PA,688.0
2014,PR,110.0
2014,RI,56.0
2014,SC,254.0
2014,SD,46.0
2014,TN,198.0
2014,TX,775.0
2014,UT,54.0
2014,VA,240.0
2014,VT,39.0
2014,WA,121.0
2014,WI,112.0
2014,WV,32.0
2014,WY,42.0
2015,AK,18.0
2015,AL,250.0
2015,AR,174.0
2015,AZ,137.0
2015,CA,1475.0
2015,CO,121.0
2015,CT,104.0
2015,DC,332.0
2015,DE,15.0
2015,FL,475.0
2015,GA,416.0
2015,HI,26.0
2015,IA,251.0
2015,ID,25.0
2015,IL,686.0
2015,IN,205.0
2015,KS,61.0
2015,KY,51.0
2015,LA,368.0
2015,MA,516.0
2015,MD,329.0
2015,ME,16.0
2015,MI,846.0
2015,MN,125.0
2015,MO,184.0
2015,MS,14.0
2015,MT,26.0
2015,NC,255.0
2015,ND,22.0
2015,NE,24.0
2015,NH,40.0
2015,NJ,258.0
2015,NM,4.0
2015,NV,119.0
2015,NY,1165.0
2015,OH,1647.0
2015,OK,29.0
2015,OR,115.0
2015,PA,777.0
2015,RI,32.0
2015,SC,106.0
2015,SD,110.0
2015,TN,142.0
2015,TX,678.0
2015,UT,89.0
2015,VA,265.0
2015,VT,67.0
2015,WA,101.0
2015,WI,124.0
2015,WV,52.0
2015,WY,21.0
2016,AK,2.0
2016,AL,404.0
2016,AR,63.0
2016,AZ,56.0
2016,CA,1402.0
2016,CO,53.0
2016,CT,54.0
2016,DC,154.0
2016,DE,64.0
2016,FL,877.0
2016,GA,1049.0
2016,HI,213.0
2016,IA,66.0
2016,ID,55.0
2016,IL,751.0
2016,IN,113.0
2016,KS,13.0
2016,KY,36.0
2016,LA,259.0
2016,MA,550.0
2016,MD,213.0
2016,ME,63.0
2016,MI,376.0
2016,MN,183.0
2016,MO,251.0
2016,MS,44.0
2016,MT,93.0
2016,NC,404.0
2016,ND,64.0
2016,NE,17.0
2016,NH,44.0
2016,NJ,233.0
2016,NM,18.0
2016,NV,141.0
2016,NY,2002.0
2016,OH,533.0
2016,OK,86.0
2016,OR,95.0
2016,PA,503.0
2016,PR,64.0
2016,RI,89.0
2016,SC,195.0
2016,SD,58.0
2016,TN,44.0
2016,TX,551.0
2016,UT,100.0
2016,VA,345.0
2016,VT,36.0
2016,WA,118.0
2016,WI,311.0
2016,WV,93.0
2017,AK,26.0
2017,AL,247.0
2017,AR,64.0
2017,AZ,192.0
2017,CA,1552.0
2017,CO,95.0
2017,CT,221.0
2017,DC,110.0
2017,DE,133.0
2017,FL,508.0
2017,GA,707.0
2017,HI,13.0
2017,IA,44.0
2017,ID,29.0
2017,IL,385.0
2017,IN,252.0
2017,KS,37.0
2017,KY,86.0
2017,LA,172.0
2017,MA,442.0
2017,MD,358.0
2017,ME,49.0
2017,MI,433.0
2017,MN,386.0
2017,MO,264.0
2017,MS,16.0
2017,MT,56.0
2017,NC,277.0
2017,ND,20.0
2017,NE,24.0
2017,NH,29.0
2017,NJ,312.0
2017,NM,41.0
2017,NV,86.0
2017,NY,1674.0
2017,OH,302.0
2017,OK,249.0
2017,OR,114.0
2017,PA,660.0
2017,RI,55.0
2017,SC,217.0
2017,SD,72.0
2017,TN,93.0
2017,TX,594.0
2017,UT,31.0
2017,VA,80.0
2017,VT,52.0
2017,WA,178.0
2017,WI,206.0
2017,WV,130.0
2017,WY,29.0
2018,AK,140.0
2018,AL,9.0
2018,AR,50.0
2018,AZ,46.0
2018,CA,1082.0
2018,CO,94.0
2018,CT,194.0
2018,DC,101.0
2018,DE,18.0
2018,FL,618.0
2018,GA,167.0
2018,HI,28.0
2018,IA,24.0
2018,ID,18.0
2018,IL,541.0
2018,IN,187.0
2018,KS,65.0
2018,KY,36.0
2018,LA,231.0
2018,MA,315.0
2018,MD,122.0
2018,ME,17.0
2018,MI,322.0
2018,MN,79.0
2018,MO,110.0
2018,MS,3.0
2018,MT,23.0
2018,NC,375.0
2018,NE,19.0
2018,NH,21.0
2018,NJ,137.0
2018,NM,14.0
2018,NV,94.0
2018,NY,904.0
2018,OH,181.0
2018,OK,45.0
2018,OR,60.0
2018,PA,321.0
2018,PR,34.0
2018,RI,41.0
2018,SC,99.0
2018,SD,17.0
2018,TN,76.0
2018,TX,485.0
2018,UT,49.0
2018,VA,646.0
2018,VT,45.0
2018,WA,135.0
2018,WI,190.0
2018,WV,18.0
2018,WY,29.0
2019,AK,11.0
2019,AL,101.0
2019,AR,43.0
2019,AZ,89.0
2019,CA,2392.0
2019,CO,118.0
2019,CT,99.0
2019,DE,80.0
2019,FL,357.0
2019,GA,384.0
2019,IA,33.0
2019,ID,45.0
2019,IL,166.0
2019,IN,159.0
2019,KS,30.0
2019,KY,175.0
2019,LA,115.0
2019,MA,307.0
2019,MD,392.0
2019,ME,23.0
2019,MI,195.0
2019,MN,182.0
2019,MO,99.0
2019,MS,43.0
2019,MT,11.0
2019,NC,172.0
2019,ND,50.0
2019,NE,19.0
2019,NH,32.0
2019,NJ,145.0
2019,NM,9.0
2019,NV,81.0
2019,NY,481.0
2019,OH,200.0
2019,OK,83.0
2019,OR,107.0
2019,PA,374.0
2019,PR,17.0
2019,RI,49.0
2019,SC,115.0
2019,SD,24.0
2019,TN,68.0
2019,TX,535.0
2019,UT,44.0
2019,VA,162.0
2019,VT,21.0
2019,WA,109.0
2019,WI,165.0
2019,WV,22.0
2019,WY,10.0
2020,AK,4.0
2020,AL,210.0
2020,AR,37.0
2020,AZ,92.0
2020,CA,1736.0
2020,CO,76.0
2020,CT,16.0
2020,DE,9.0
2020,FL,364.0
2020,GA,199.0
2020,HI,21.0
2020,IA,25.0
2020,ID,25.0
2020,IL,370.0
2020,IN,136.0
2020,KS,9.0
2020,KY,35.0
2020,LA,89.0
2020,MA,263.0
2020,MD,104.0
2020,ME,17.0
2020,MI,110.0
2020,MN,72.0
2020,MO,64.0
2020,MS,11.0
2020,MT,126.0
2020,NC,96.0
2020,ND,13.0
2020,NE,9.0
2020,NH,38.0
2020,NJ,67.0
2020,NM,11.0
2020,NV,78.0
2020,NY,402.0
2020,OH,100.0
2020,OK,35.0
2020,OR,47.0
