COMPLETED_DT,LAT,LON,TOTAL_HOME_UNITS
2011-12-27,41.988247,-72.440447,86.0
2012-03-28,41.339109,-72.933695,19.0
2012-11-19,41.381016,-72.904654,62.0
2012-07-20,41.172883,-73.196719,6.0
2012-03-27,41.766868,-72.530443,32.0
2012-01-11,41.145985,-73.483986,11.0
2012-11-21,41.805768,-72.838284,11.0
2014-03-10,41.310777,-72.897979,34.0
2012-11-21,41.764902,-72.724528,14.0
2012-06-18,41.773663,-72.541136,15.0
2014-03-21,41.988247,-72.440447,60.0
2013-07-30,41.309063,-72.935931,26.0
2015-06-12,42.017448,-73.332441,10.0
2016-06-30,41.30608,-72.946805,5.0
2019-07-25,41.868227,-72.256495,24.0
2018-08-31,41.476005,-73.409038,26.0
2002-10-23,41.138606,-73.3057,38.0
2002-09-24,41.345101,-72.894823,10.0
2004-03-01,41.709401,-72.603284,19.0
2005-05-19,41.310013,-72.947252,58.0
2005-01-31,41.673206,-72.789526,5.0
2005-02-01,41.805127,-72.508336,11.0
2005-05-19,41.752233,-72.683844,66.0
2005-06-22,41.35285,-72.09869,5.0
2005-08-31,41.545116,-73.046084,10.0
2005-06-30,41.77586,-72.740071,68.0
2005-05-19,41.526685,-72.074625,9.0
2005-12-28,41.799689,-72.689837,40.0
2009-05-05,41.667381,-72.783324,11.0
2005-05-19,41.177626,-73.19059,9.0
2005-05-02,41.777551,-72.676079,256.0
2009-06-19,41.047205,-73.547364,10.0
2005-06-22,41.397861,-73.279796,6.0
2005-09-15,41.923184,-73.06718,19.0
2007-06-30,41.756345,-72.692317,30.0
2005-11-10,41.175483,-73.16353,48.0
2010-02-03,41.680842,-72.794011,18.0
2008-06-09,41.755127,-72.692954,6.0
2008-09-04,41.303954,-72.944471,11.0
2006-12-27,41.036862,-73.609126,10.0
2008-09-29,41.562594,-73.049128,20.0
2009-05-04,41.673257,-72.789086,4.0
2010-02-03,41.930467,-73.075871,20.0
2007-07-30,26.052566,-80.146551,10.0
2010-09-30,26.228943,-80.129742,2.0
2012-08-24,26.098558,-80.139704,1.0
2011-09-20,26.124938,-80.142523,11.0
2012-06-12,26.124938,-80.142523,2.0
2012-05-10,26.130208,-80.143974,8.0
2012-06-28,26.133877,-80.159497,2.0
2012-08-02,26.21506,-80.132185,4.0
2012-08-02,26.121824,-80.155217,2.0
2012-05-10,26.034228,-80.246535,4.0
2012-06-06,26.034228,-80.246535,6.0
2014-01-14,26.098558,-80.139704,4.0
2012-12-05,26.040955,-80.155791,8.0
2014-09-26,26.131092,-80.15574,2.0
2014-11-12,26.099522,-80.135912,2.0
2017-10-31,26.142221,-80.146485,7.0
2019-03-28,26.061225,-80.233406,4.0
2015-09-23,26.13187,-80.136605,1.0
2014-09-25,26.112137,-80.140355,1.0
2003-04-16,26.13116,-80.156692,2.0
1999-08-20,26.102122,-80.145157,6.0
2006-10-18,26.13298,-80.157701,6.0
2008-04-25,26.14862,-80.175605,2.0
2007-09-30,26.125236,-80.159653,3.0
2007-05-02,26.132026,-80.154833,2.0
2006-11-22,26.133048,-80.157703,1.0
2014-03-25,26.130964,-80.157675,10.0
2013-12-18,26.123965,-80.156457,4.0
2014-03-25,26.124979,-80.15786,2.0
2014-03-25,26.14242,-80.146491,1.0
2014-03-25,26.139493,-80.143184,2.0
2015-03-12,26.138887,-80.142597,2.0
2014-11-15,26.142847,-80.144614,2.0
2016-12-01,26.111039,-80.173003,1.0
2016-12-08,26.127718,-80.165759,1.0
2018-10-15,26.123346,-80.158764,31.0
2021-03-01,26.125226,-80.160077,1.0
2021-09-16,26.132448,-80.155798,6.0
2017-06-15,29.646854,-82.3015,38.0
2019-08-30,41.805828,-71.875959,9.0
2019-02-25,41.184807,-73.175947,33.0
2006-08-21,26.121285,-80.143645,1.0
2006-08-21,26.121285,-80.143645,1.0
2006-08-21,26.120555,-80.143599,1.0
2007-03-07,26.05695,-80.152734,11.0
2010-09-10,26.124938,-80.142523,2.0
2007-03-13,25.99073,-80.158933,6.0
2007-08-06,26.168857,-80.203666,10.0
2007-09-30,26.121285,-80.143645,1.0
2007-07-12,26.163865,-80.244673,3.0
2007-03-08,26.273932,-80.261126,11.0
2007-08-02,26.104861,-80.145727,3.0
2007-07-12,26.235958,-80.139408,6.0
2007-09-30,25.986832,-80.161812,8.0
2007-08-07,26.096276,-80.143288,8.0
2007-08-07,26.098558,-80.139704,8.0
2008-09-30,26.101738,-80.263631,1.0
2007-09-30,26.040762,-80.155791,4.0
2009-09-30,26.281424,-80.115522,4.0
2010-09-28,25.986832,-80.161812,8.0
2010-09-30,26.098558,-80.139704,3.0
1999-09-28,39.751967,-75.563039,4.0
1999-09-28,39.754727,-75.581285,3.0
1999-09-23,39.193175,-75.516001,11.0
2001-01-01,41.778521,-72.683038,6.0
